Ind,authors,title,year,is_cited_own_paper,is_of_interest
73,Tolga Birkandan,Symbolic analysis of second-order ordinary differential equations with polynomial coefficients,2022,False,True
74,Tolga Birkandan; Ceren Güzelgün; Elif Şirin; Mustafa Can Uslu,Symbolic and Numerical Analysis in General Relativity with Open Source Computer Algebra Systems,2018,False,True
75,Eric Gourgoulhon; Marco Mancini,Symbolic tensor calculus on manifolds: a SageMath implementation,2018,False,True
76,Alexia Auffèves,A short story of quantum and information thermodynamics,2021,False,True
77,Jingbo Wang,The topological order of the space,2021,False,True
78,Daniel Elander; Maurizio Piai; John Roughley,Dilatonic states near holographic phase transitions,2021,False,True
79,Yong Xiao,The holographic state of matter and its implications for quantum gravity,2021,False,True
80,Loïc Marsot,Geometric studies of the interplay between spin and gravity,2020,False,True
81,Sebastian De Haro,Noether's Theorems and Energy in General Relativity,2021,False,True
82,Sebastian Murk; Daniel R. Terno,Universal properties of the near-horizon geometry,2021,False,True
83,José P. S. Lemos; Paulo Luz,All fundamental electrically charged thin shells in general relativity: From star shells to tension shell black holes and regular black holes and beyond,2021,False,True
84,Sharmila Gunasekaran; Ivan Booth,Horizons as boundary conditions in spherical symmetry,2019,False,True
85,Nishad Maskara; Michael Buchhold; Manuel Endres; Evert van Nieuwenburg,A learning algorithm with emergent scaling behavior for classifying phase transitions,2022,False,True
86,Amr Ahmadain; Israel Klich,Emergent geometry and path integral optimization for a Lifshitz action,2021,False,True
87,M. Hamed Mohammady,Quantum measurements produce classical heat,2021,False,True
88,Latévi Mohamed Lawson,Thermodynamics of ideal gas at Planck scale with strong quantum gravity measurement,2021,False,True
89,Rodrigo de León Ardón,Conformal quantum mechanics as a Floquet-Dirac system,2021,False,True
90,Ki-Seok Kim; Shinsei Ryu,Entanglement transfer from quantum matter to classical geometry in an emergent holographic dual description of a scalar field theory,2021,False,True
91,Ilya Esterlis; Haoyu Guo; Aavishkar A. Patel; Subir Sachdev,Large $N$ theory of critical Fermi surfaces,2021,False,True
92,Soichiro Hashiba; Yusuke Yamada,Stokes phenomenon and gravitational particle production -- How to evaluate it in practice,2021,False,True
93,Hiroki Asami; Chul-Moon Yoo,Thermal equilibrium states and instability of self-gravitating particles in an asymptotically AdS spacetime,2021,False,True
