,0,1,2,3,concat_topics
Haoyu_Guo,1,3,9,11,1 3 9 11
Soichiro_Hashiba,1,5,8,10,1 5 8 10
Yusuke_Yamada,1,5,11,12,1 5 11 12
Hiroki_Asami,1,2,5,8,1 2 5 8
Chul-Moon_Yoo,1,2,5,11,1 2 5 11
Tomoki_Ozawa,1,4,7,11,1 4 7 11
Bruno_Mera,1,4,7,11,1 4 7 11
Dominic_V._Else,7,9,10,11,7 9 10 11
Sheng-Jie_Huang,3,7,10,11,3 7 10 11
Abhinav_Prem,1,3,10,11,1 3 10 11
Andrey_Gromov,6,9,10,11,6 9 10 11
P._I._C._Caneda,1,7,9,11,1 7 9 11
G._Menezes,1,5,6,8,1 5 6 8
Harald_Reiss,3,5,7,11,3 5 7 11
Lucas_Daguerre,1,8,9,12,1 8 9 12
Raimel_Medina,1,8,9,12,1 8 9 12
Mario_Solis,1,8,9,12,1 8 9 12
Gonzalo_Torroba,9,10,11,12,9 10 11 12
Marco_Bardoscia,1,4,5,12,1 4 5 12
Paolo_Barucca,1,4,5,12,1 4 5 12
Stefano_Battiston,1,4,5,12,1 4 5 12
Fabio_Caccioli,1,4,5,12,1 4 5 12
Giulio_Cimini,1,4,5,12,1 4 5 12
Diego_Garlaschelli,1,4,5,12,1 4 5 12
Fabio_Saracco,1,4,5,12,1 4 5 12
Tiziano_Squartini,1,4,5,12,1 4 5 12
Guido_Caldarelli,1,4,5,12,1 4 5 12
Ashkan_Shekaari,1,3,4,7,1 3 4 7
Mahmoud_Jafari,1,3,4,7,1 3 4 7
Nirmalya_Kajuri,1,2,8,9,1 2 8 9
Neven_Bilić,2,8,9,12,2 8 9 12
Julio_C._Fabris,2,8,9,12,2 8 9 12
Jason_Bennett,1,7,10,11,1 7 10 11
Jacopo_De_Nardis,1,4,8,9,1 4 8 9
Benjamin_Doyon,1,7,8,9,1 7 8 9
Marko_Medenjak,1,5,9,12,1 5 9 12
Miłosz_Panfil,1,5,9,12,1 5 9 12
Abhay_Ashtekar,1,2,7,11,1 2 7 11
Eugenio_Bianchi,1,2,4,7,1 2 4 7
Silvia_Pappalardi,1,4,5,7,1 4 5 7
Jorge_Kurchan,1,4,5,7,1 4 5 7
M._Mitrano,3,9,11,12,3 9 11 12
A._A._Husain,3,9,11,12,3 9 11 12
S._Vig,3,9,11,12,3 9 11 12
A._Kogar,3,9,11,12,3 9 11 12
M._S._Rak,3,9,11,12,3 9 11 12
S._I._Rubeck,3,9,11,12,3 9 11 12
J._Schmalian,3,9,11,12,3 9 11 12
B._Uchoa,3,9,11,12,3 9 11 12
J._Schneeloch,3,9,11,12,3 9 11 12
R._Zhong,3,9,11,12,3 9 11 12
G._D._Gu,3,9,10,11,3 9 10 11
P._Abbamonte,3,6,9,11,3 6 9 11
